epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,442.199,0.33603,0.3388,0.00163,0.8986,1,0.995,0.94807,0.34073,0.236,0.00171,0.000247625,0.000247625,0.000247625
83,447.473,0.34846,0.35789,0.0016,0.90164,1,0.995,0.96079,0.29266,0.22457,0.00135,0.00023525,0.00023525,0.00023525
84,452.905,0.31195,0.3055,0.00135,0.90217,0.9914,0.995,0.94462,0.30441,0.22932,0.00133,0.000222875,0.000222875,0.000222875
85,458.083,0.35069,0.34778,0.0014,0.89066,0.97171,0.995,0.9691,0.28128,0.23872,0.00146,0.0002105,0.0002105,0.0002105
86,463.447,0.35601,0.34236,0.00162,0.88435,1,0.995,0.96801,0.29987,0.21862,0.00138,0.000198125,0.000198125,0.000198125
87,469.071,0.33951,0.32099,0.0013,0.89163,1,0.995,0.97899,0.28622,0.20078,0.00132,0.00018575,0.00018575,0.00018575
88,474.395,0.3298,0.30018,0.00139,0.90481,0.99443,0.995,0.96423,0.29997,0.19247,0.00151,0.000173375,0.000173375,0.000173375
89,479.72,0.33689,0.33896,0.00138,0.90414,0.98879,0.995,0.97495,0.30446,0.19124,0.00154,0.000161,0.000161,0.000161
90,485.124,0.31609,0.33966,0.00145,0.90421,0.98739,0.995,0.94472,0.32107,0.19085,0.00152,0.000148625,0.000148625,0.000148625
91,505.689,0.2868,0.38333,0.00132,0.88619,0.98702,0.995,0.95756,0.28849,0.18629,0.00143,0.00013625,0.00013625,0.00013625
92,511.03,0.26812,0.37175,0.00132,0.87258,0.98749,0.995,0.94843,0.32302,0.20568,0.00155,0.000123875,0.000123875,0.000123875
93,516.319,0.29298,0.38687,0.00146,0.87596,0.97591,0.995,0.9446,0.35089,0.22105,0.00159,0.0001115,0.0001115,0.0001115
94,521.482,0.29027,0.35154,0.0013,0.89407,0.95332,0.995,0.92836,0.35138,0.23041,0.00151,9.9125e-05,9.9125e-05,9.9125e-05
95,526.824,0.27054,0.36643,0.00122,0.90336,0.94893,0.995,0.92854,0.35799,0.24147,0.00154,8.675e-05,8.675e-05,8.675e-05
96,532.309,0.2698,0.37046,0.00122,0.95313,0.93784,0.995,0.92671,0.36388,0.28883,0.00158,7.4375e-05,7.4375e-05,7.4375e-05
97,537.474,0.27718,0.34729,0.00131,0.95231,0.94212,0.995,0.94441,0.33387,0.27766,0.00149,6.2e-05,6.2e-05,6.2e-05
98,542.747,0.26307,0.33475,0.00131,0.8731,0.96652,0.98738,0.9366,0.31312,0.27492,0.00137,4.9625e-05,4.9625e-05,4.9625e-05
99,548.083,0.24456,0.34001,0.00118,0.88599,0.96627,0.98738,0.94279,0.29632,0.26391,0.00132,3.725e-05,3.725e-05,3.725e-05
100,553.383,0.24945,0.31253,0.00116,0.88973,0.96369,0.98738,0.94299,0.29091,0.25918,0.00132,2.4875e-05,2.4875e-05,2.4875e-05
